client_id,visit_id,variation,minutes_spent
3167322,31012710_44318151133_995478,test,100
1257039,696715929_49141754090_858496,test,99
1591633,140402164_29421008594_830098,test,98
6723134,552259493_67372413668_743318,test,98
7680107,769327790_29014562519_291682,control,97
96190,284864284_64968477406_378613,test,97
9203634,131955864_65164699373_634440,test,96
6608805,914623776_9522267837_371979,test,96
3625526,383050080_85709953080_651750,test,96
383373,463953678_19123957684_824296,test,96
402509,96675702_21564282586_825755,test,95
3704180,398427240_99720691631_931783,test,95
6404304,636920695_12415551714_920283,test,94
8794099,632944533_53707789774_885668,control,94
5156074,240857763_97427529138_768303,control,93
6663540,76432510_33922080026_779186,control,93
517547,778686612_9288932462_645317,test,93
28857,20611935_38968216552_8195,control,93
8697862,310877714_16046405049_26775,test,93
8729678,876657129_68560082506_403859,test,92
1002001,363707528_98351358105_59101,test,91
704957,595667150_70863770346_847458,control,91
9798901,675805218_63221891444_723563,test,91
1619822,687349938_65470895761_508223,test,91
5924947,859021479_20735840526_147089,test,90
353828,759713646_5474100995_668078,test,89
7034055,73694669_89566332136_16108,test,89
6913303,690758890_96690422525_886780,control,88
3968117,442415941_66729611670_889931,test,88
7630153,825788540_66525937637_171995,test,88
6229511,901045687_93987650598_395894,test,88
3021757,166753230_51456836878_175329,test,86
6686840,699879519_24719899358_572278,test,85
2771618,463608637_25555599673_886392,test,84
5234879,271909439_76783331175_476042,test,84
8710810,993244734_17844375605_792549,test,84
7665323,314875335_67870748116_329831,test,84
9410549,554897609_58242917017_669621,test,83
7763589,834185613_31547606163_876804,test,82
7826041,452047918_58275921716_674892,control,82
3486803,600132191_82360927760_823535,test,81
2148448,8201582_66347243821_425920,control,81
2016715,422643278_73431411493_417346,test,80
1237163,205596144_71877621602_58548,test,80
4390568,658868843_759977243_423250,control,80
5253953,525945956_74997595971_627652,test,79
1502049,619633716_73425095194_546516,control,79
9243184,955580541_51315837045_630565,test,79
5453206,664058187_81647100919_920722,test,78
301165,499501868_85495889754_915363,test,77
5601303,827856101_22967426646_261583,control,77
2256976,982597667_9095061445_915509,test,77
4197171,718740124_29434330480_96968,control,77
2340830,232502542_12771706911_11066,test,76
8098139,409713081_24265937894_960689,control,76
3687124,509085720_85987926649_723727,test,76
3071824,423968668_53958704409_926445,test,76
5023925,332016577_15158109345_6188,test,75
5550810,417358037_46998419780_959866,test,75
2667297,701378967_27762664476_546854,control,75
6901495,885443693_79435022818_652971,test,74
4988406,156811723_35673300266_863427,test,74
3004249,169478833_68124939986_429009,test,74
2261960,418014021_30622509957_706070,test,74
3379469,747099938_44186105363_917873,control,73
1595223,51853936_4251561986_994623,test,73
8993120,992012926_29474252819_936598,test,73
843228,153139550_16224196740_395856,control,73
5887829,289320577_99858244061_615614,control,72
4544713,417725360_35833885427_431087,test,72
159875,167619580_78542308983_112067,test,72
2733998,548964138_23122728286_12388,test,72
2271164,30714723_53564046699_567312,test,71
963965,367015617_75198717881_431972,test,71
1973142,265363423_34159143328_663859,test,71
9664057,606933856_27920340849_118462,control,71
2191017,864167642_89505448258_915614,test,71
1718738,416458625_8244365553_56895,test,70
3971370,524586476_25320494059_541493,test,70
4644231,906518778_42179377158_885573,test,70
6007709,538386052_43070822704_5076,test,70
847220,15715423_17683599671_815762,test,70
8360801,530163740_52602749918_87343,test,70
5736976,682503684_91056443464_514763,test,70
5787222,710058503_86939989279_276826,test,70
1263818,694788946_23139479209_316899,control,69
7221280,521880656_68474409212_70882,control,69
35087,656173332_25606320551_748921,control,69
2908142,720655410_34519390629_730729,control,69
5358630,788036379_52941498808_7287,test,68
8643140,114054589_88371105538_636147,test,68
4834586,849233420_27464859522_438478,test,67
7151761,698317368_22779043300_659046,test,67
7033412,28654021_32162378489_570640,test,67
9177320,122555783_28837493438_331429,test,67
4039397,300815280_77763776053_983260,control,67
8833118,971866051_53193374183_524486,test,67
5858719,373403556_58107634924_308226,test,67
3835844,430647865_56030293307_309546,test,67
9432051,292645922_92461506070_739112,test,66
4365679,359522562_65816297663_79768,test,66
3257276,392483739_93477256714_461613,control,66
7293514,693218842_75533172243_303451,test,66
1732770,308249919_47061738549_92886,control,66
5310212,868803154_17802639493_420601,test,66
8098497,740755936_81721490769_88092,control,66
4943766,15700864_10286262418_510243,control,66
2386069,33921393_44059667213_898880,test,66
6651005,416053163_53216059798_837530,control,65
2398368,923538329_69562754916_856562,test,65
8763395,693297213_91349289502_818961,control,65
2836104,856860958_96043808256_47374,test,65
9307063,56821806_85127783272_810750,test,65
8442995,786583103_56983830327_743390,test,65
941284,564096822_78413413048_243447,test,65
9274883,921403514_61041546198_743036,test,65
6271685,407256756_76333585036_130436,control,65
5222265,999386929_14588554239_193002,test,65
2541030,185787595_60142245707_832587,control,65
7539930,817075470_98990076308_923840,test,65
5979365,329999199_74838236233_739722,test,64
2902418,18447748_79063286906_60153,test,64
6767637,673556079_8501484655_738083,control,64
872464,786117689_92237638055_554173,control,64
8559593,240665315_26020123922_334292,test,64
9466333,976471886_26267808250_797419,test,64
4565623,966647095_68263636312_470399,control,64
5795460,877167649_92888607146_581679,test,64
2415092,610650403_75344765569_486020,control,64
4872686,988867057_87064886255_906158,control,64
2131961,607529815_77302274966_9723,test,64
2010054,117464331_40164592612_859624,control,64
3231281,826138026_28972263632_964844,control,63
1767975,139876102_33702354476_65188,control,63
3370035,474503485_86866542733_275146,test,63
2519971,338086750_6664777018_225408,test,63
524481,944977138_91559514062_252517,test,63
6430825,431726902_86731111588_474118,test,63
787956,410872846_75309382019_998761,test,63
9726591,909670075_2550742747_336725,test,62
1048065,24470457_93561300492_694514,test,62
572266,860529269_94610884237_919445,control,62
4809354,41954901_14195272109_803146,test,62
3775552,845283182_21704896555_931806,control,62
4193281,954909949_79895730550_914150,control,62
2959977,461149143_54373969019_332620,test,62
6107602,913266104_9276791797_258737,control,62
93751,366568338_26828365544_44481,test,61
1463931,246708724_33568116391_810448,control,61
2154960,900497402_88200619610_135998,test,61
1350140,126877409_65371501588_218283,test,61
4378428,586138340_57848258263_113796,control,61
6476325,558569718_88334672136_618885,test,61
3534206,257105821_33321022040_371721,test,61
4036374,869195_38107901538_413317,control,61
1109236,586017964_91060379601_663462,test,60
3756516,938965993_22909570951_643656,test,60
5812074,516321364_37320727443_44939,test,60
5039552,922083093_88186497891_327622,control,60
2196962,539704853_66729528183_500904,test,60
7002158,59842235_6976821531_600453,test,59
6717348,488717463_59709157846_657591,test,59
7353047,796077291_32182224788_730938,control,59
5081402,879388533_7871680230_851384,test,59
7905723,261215435_50470875588_938435,test,59
7803066,303435701_32593937901_876361,test,58
5751088,691684135_96409989804_495585,control,58
7033412,207058877_88205647609_801479,test,58
7034044,593474311_66755983722_866596,test,58
5013870,423580772_43824246146_80590,control,58
6385101,364244154_61349902408_805379,test,58
4600322,279552306_34425097855_459302,control,58
5525549,614821206_21554337625_161425,test,58
7977396,367610323_17132117237_524029,test,58
6522337,651867744_80984065777_339936,control,58
4533579,424904646_69239383556_314182,control,58
5894548,235141937_89062904189_967423,test,57
2606925,167784906_30297527728_577291,test,57
422464,853130401_30955070448_642144,test,57
998727,45519936_92498624012_472663,control,57
5138174,375976547_94572606281_657177,test,57
6759841,630865808_49121469417_602859,test,57
2643833,172047896_78418953471_154582,control,57
6938105,799215594_53565600970_760573,control,57
6956977,358895965_39024274268_915886,test,57
4982508,171454177_18254523896_701443,control,57
519971,566255624_41568598426_211402,control,57
5570866,354414531_42251386538_527386,control,56
6250207,107510365_50187694165_794085,test,56
2148617,712399322_82421119480_347419,control,56
7327040,372912343_91461585355_785187,test,56
4361726,637314518_70072149741_61546,control,56
5291841,215166242_79754283719_833666,test,56
7574730,872829716_31728668178_693702,test,56
7751717,698044406_66960331775_534635,test,56
408411,934624877_18565663452_538755,test,56
2211014,589871141_73329580178_649884,control,55
2217601,165549927_57232139680_778578,test,55
9468174,62839378_62621098014_792341,control,55
8752868,871123855_74058327741_439691,control,55
1894933,750656653_80967311415_565058,test,55
9887022,851419902_93880734700_63467,test,55
10344,595675198_11906913204_686811,control,55
5544750,282832686_48935744752_830891,test,55
8277761,442610752_91177687128_823987,test,55
6728175,411920938_28264434436_844822,control,55
8167124,123118110_18926050224_320772,control,55
2270432,961898388_7114827706_212497,test,55
674617,925071425_39816566877_722429,test,54
7951273,230428647_31953471335_218165,test,54
519971,418725242_69371011654_416843,control,54
1275302,872072214_15580029448_514385,test,54
5572873,129388650_46588746543_447466,test,54
247432,434222935_69960847432_451635,control,54
3031356,766765149_65141788251_854597,test,54
7089856,236365440_39669380003_179501,test,54
3998871,914141044_4803437615_387131,test,54
3923641,73129500_24861387279_483682,test,54
3190600,692883771_92393069285_329911,control,54
3495911,874051829_17335786069_589751,test,54
3182757,847876123_14130061202_332501,control,54
9464030,256463475_9949935183_804175,test,54
1650908,637024456_7205770962_174406,control,54
3514576,731904229_71228579784_98074,control,53
4686520,864338034_75298205817_816802,test,53
5137223,11285989_43226672600_576309,test,53
5449968,722453392_34814746860_563071,control,53
3210892,854428016_39052114570_250133,control,53
5607313,868276903_767928027_463510,control,53
5731006,832457809_7805349382_501583,test,53
7475602,599501632_82183165020_871793,control,53
405565,804498837_40098742539_605752,control,53
5812215,167609005_10484581054_390635,test,53
2003112,803497777_84632424600_275259,test,53
1911636,991147640_69726264824_700984,control,52
9218872,433640751_30667594967_980793,test,52
4127597,888149791_42704769047_374172,test,52
4557510,221561761_44021225931_874515,test,52
5897837,183082360_21981386940_560102,control,52
93610,174577322_36212807338_455989,test,52
8588068,996321586_74663842652_657559,control,52
3223172,456144456_412041060_688478,test,52
2010239,943317840_33041328843_116008,control,52
2513163,781902117_54383201174_424432,test,52
515013,817510607_38152499960_390853,test,52
7184846,214248852_43278373615_917221,control,52
7516880,287850585_32387324143_94608,control,52
6589077,424086201_44709732314_149685,test,52
8525111,162958574_10509660766_243652,test,52
8174132,7068524_6015466200_556315,test,52
8866432,308987730_84122533235_590440,test,52
8272668,270573820_94188824230_134937,test,52
3995589,420972238_1751454737_918998,test,52
367331,396845677_91906936799_158024,control,52
5175035,513493859_23199281443_51427,control,52
3866893,857034522_68540752946_381052,test,52
4287009,864967556_93887537482_100775,test,51
3672046,203807775_29961727742_998776,test,51
4839980,603877420_26918609406_457394,control,51
1678226,728397687_46337836550_712164,control,51
2863341,59693028_49589280645_551850,test,51
8013243,984601015_80687661356_509092,control,51
397150,976351568_21823655537_753028,test,51
9892972,146108260_73197233847_874642,test,50
7247461,221993700_23639879168_117725,control,50
3624461,281691465_29068049877_348382,test,50
8142299,79302198_67930213087_283477,test,50
2079150,944648342_2977396684_444682,test,50
5182958,812351374_74887145393_568256,control,50
5145425,745830422_77896468451_65492,test,50
5245070,897871620_36388181686_210729,test,50
6589077,935830049_24024795893_872215,test,50
2592885,439999554_38964767611_495673,test,50
9301583,835166940_7083921396_475119,control,50
7264146,474766167_28433995274_792688,control,50
8100842,209934381_33200030258_63872,test,50
1837851,90778928_65229249632_432412,control,50
2433237,976683537_619366611_425789,control,50
8283857,424470014_80807799897_674277,test,50
7324589,348768841_26446880533_761234,control,50
846051,647715049_96675293511_995770,test,50
5253954,710852214_23853829317_590495,control,50
7304289,41834249_5704097724_449075,control,49
7920868,872254616_89663525309_393747,control,49
160741,89903730_84996701889_496523,test,49
5457087,395441163_58722630393_392690,test,49
2142735,583446570_82520865102_339244,test,49
1347489,452668126_83699167764_264586,control,49
3524038,772893985_21626823401_178877,test,49
3523662,717814380_51178995851_739412,test,49
1325678,866734883_75048903307_152277,test,49
7637957,52121080_62798498436_303397,test,49
7544362,154824275_15335644322_222659,test,49
3159769,956103578_51488801048_789587,test,49
6604463,326032299_10359363177_373206,test,49
564529,744159951_43349804816_959512,test,49
5700921,643023210_94998831358_198553,test,49
117032,128537977_3101309779_268222,test,49
6197156,84280352_66136830662_673972,test,49
1598934,421241917_87338889391_778429,test,49
7060704,64859298_77133113104_171435,test,49
5885212,820124221_4517748292_369598,test,48
4928298,554323774_72783773318_746175,test,48
8355253,442333938_14870307639_742748,test,48
9053216,254696448_74860548646_458045,test,48
7001154,441019504_54890405499_519700,test,48
9010408,440939927_67019734152_246543,control,48
6992079,714923422_61196171538_63218,control,48
7642426,851852080_13068684717_931657,control,48
4060503,577836760_9899015281_828798,test,48
7942178,924279671_98105493425_578505,test,48
3370908,671734926_30271154094_242018,control,48
5783708,330205397_79066702852_526471,control,48
470897,947304770_35642190981_144815,test,48
5408208,264293680_64835278937_152079,control,48
2181092,381728866_59435523114_720695,control,48
3247787,304487409_9262724110_581947,control,48
6807117,9208916_94582204427_147461,test,48
4314775,168863703_30532529614_325528,control,48
611632,790818587_88566703000_787234,control,48
511272,888098822_27946544115_925464,test,48
258829,276353615_49888348633_840445,control,48
797410,980571712_75136024421_701699,test,48
5687944,122932207_8480839384_353052,test,48
8322275,619903732_98121810590_342529,test,48
971861,712309782_75503840978_449478,control,47
6131423,410686402_97742765697_358437,control,47
8747380,850579831_3283817506_168007,control,47
3872764,779839207_75400928536_985896,test,47
3414716,985767346_9221733233_345336,control,47
5159329,228529544_52742082870_250010,test,47
3269114,767427783_66811421100_852958,control,47
4142389,118587480_95145204557_310126,control,47
7795550,428529357_6959155752_124163,test,47
8963925,879157726_39988101716_688046,test,47
7817761,606676886_87935451081_692282,test,47
2445043,251512159_7734465254_633863,control,47
9767375,468691275_97467300273_268128,control,47
4748054,324702353_91698159384_93914,test,47
8010747,777056262_38049529887_848822,test,47
1311377,798457461_27295055333_99793,test,47
1332349,97285097_60313499607_897489,control,47
8047921,592440966_50559512327_635741,test,47
8953501,293599380_50013829703_119441,control,47
3769005,924038261_19485558974_377047,test,47
3806151,824417183_5149985313_510421,control,47
5102800,188083042_1325110260_302482,control,47
3571495,623030358_43407595340_134810,control,47
409987,609766633_36235382451_692458,test,47
7194058,524558364_81224540301_388568,test,46
8797924,594355625_16062059577_906503,test,46
4872110,995924431_56588302850_594937,control,46
2646813,950631909_60786307269_168474,control,46
7716583,474922184_62821959528_217600,test,46
310721,43767978_97684276009_730284,test,46
3387092,726968669_41735285041_93664,control,46
7087545,793664708_83854788940_968132,control,46
3524127,734659626_1115425906_383945,test,46
1639014,732317696_87253983714_508920,test,46
4496283,477642618_46268007277_568545,test,46
2154143,509809967_29778856184_911682,test,46
9525187,370747811_87600062344_778439,test,46
194686,272665050_97418994579_701644,control,46
1456118,495336677_94714734175_34714,control,46
4854942,804792631_82809831153_979150,test,46
9357020,277633264_81009932390_241385,test,46
1919955,111525909_16355509765_333898,test,46
5022977,275004126_49369828069_554008,test,46
2292757,706870070_83570999413_17518,test,46
5595019,743806519_773583068_935475,test,45
128230,359736234_52122079157_67245,test,45
2036502,761286784_27775877479_265451,control,45
2814887,937446179_56008855263_581291,test,45
7324201,583176127_19215105343_986479,test,45
4378886,31508133_16632289076_709977,control,45
8791667,270041888_23141431088_769820,test,45
5125164,718075719_54824105199_546296,test,45
5873674,108185369_27453506388_542429,control,45
2941981,687161722_1333440367_889464,test,45
1581087,253962107_64213166735_980742,test,45
44705,747248516_24137338282_592447,test,45
6390205,758917148_62285414367_268467,control,45
8000731,402343498_59280976703_833747,test,45
5387333,227475285_1093176338_288822,control,45
8534599,256866836_85811830896_99175,test,45
2242363,86491096_74089910562_294128,control,45
6440386,830894051_77670888264_24334,test,44
5037815,868708793_24725700685_807351,control,44
6380474,529742051_46093944128_646353,control,44
2214360,546903429_79325787937_166905,control,44
2182333,908179405_98684429754_860534,test,44
7309903,819730298_96144103980_907137,test,44
6328200,987152421_20383338743_448557,test,44
1264168,741809361_33568254878_150574,test,44
3809225,86370730_67943256045_291853,test,44
892783,481917780_2205775734_814880,control,44
2608649,327458950_60209519730_490219,test,44
3206966,710431125_65807785149_545206,control,44
5396918,202389433_55018290784_664811,test,44
7898021,823458410_8905171503_504645,test,44
568718,414959921_20289229877_335490,test,44
1984039,191602070_3092375246_918456,control,44
1511193,980597574_9024269863_339128,control,44
8477487,692781901_83756830183_414419,control,44
6379561,115333538_74978757261_408510,test,44
908709,883041033_91499943603_898634,test,44
8451131,20571675_47296996799_135169,test,44
9238045,688497148_4555774321_330135,control,44
8340850,914033474_12374327002_639492,test,44
3826133,370801733_32142097305_796101,test,44
4239436,446669105_35793654211_637098,control,43
1175926,382738561_59772131887_29735,control,43
2681354,743973834_2410404805_198666,control,43
9943749,502033648_85381727533_40125,control,43
6438049,78191678_97026365632_121589,test,43
8346565,99193382_55224478141_443914,control,43
5553389,717511822_63124227908_205102,test,43
7692382,786174068_20788028315_533775,test,43
974365,689583280_5059814803_611364,test,43
929347,736830330_76489630522_419142,control,43
6218062,833258962_5413757382_992389,test,43
2368987,74943847_65263351338_758798,control,43
2928002,719870680_90505992997_133040,control,43
843228,542291007_99212333873_758727,control,43
9923243,845195621_16811410275_565458,test,43
2327007,911415814_36211650386_500435,control,43
8242142,802199754_55347823980_624415,test,43
9997470,761490147_96352537762_21814,control,43
97966,394527525_40937132615_101660,control,43
7091126,463116674_3455263759_880589,test,43
6639480,574034387_73099447294_507543,control,43
3861947,553181052_16682674193_819735,control,43
1873941,464618689_80741106094_211687,test,43
9042600,614734149_99545634561_603866,test,43
9295034,88094256_66365127226_333022,control,43
120089,739523954_29412944581_36702,test,43
2510672,705378776_49709151922_465655,control,43
2489943,441090929_39898298865_84316,control,43
5374041,193449705_72900914716_632978,control,43
9855544,174104136_92734901075_800441,test,43
9057331,364943962_63727668643_995784,test,43
9853329,55465378_98641923130_58660,control,43
2690825,236378354_95112227060_927653,control,43
7321048,813513891_67408697367_350761,test,43
7317313,147971335_94165235600_752462,test,43
8782543,644348370_46071488174_925550,test,43
4204913,266531473_27841027760_753966,test,43
2928369,990387787_40481548858_273303,control,43
7304289,929406204_53920243021_64358,control,42
3845216,760195212_32651016917_974913,test,42
7634525,115296208_41654096038_346524,test,42
2825450,899933465_51172592617_259844,test,42
5796007,322569303_95304995604_463039,test,42
8329138,430546121_15155346784_568732,test,42
6356189,312732380_66968376693_276126,control,42
8921130,589200704_33047529150_761323,test,42
3097314,753975542_40575527041_967422,test,42
3036745,918423853_22131844987_470724,control,42
8852808,415787222_26844339884_184645,test,42
6158814,135833985_63977840275_624447,test,42
2300570,917507528_86668171182_242918,control,42
9895333,40359801_27316499959_198257,test,42
8964089,52247352_18817166389_166172,test,42
8892030,50312767_3522203581_673188,control,42
4077197,105528198_88476234988_704586,test,42
2441162,364119582_35657973331_617885,test,42
7985391,229023522_31419703842_645666,control,42
2196511,192951520_99229512960_941312,test,42
6768346,910985353_68083377421_571715,test,42
36555,276008776_6187559850_732189,test,42
7890170,705588108_26394825510_945768,test,42
7659249,642899160_54970824392_722235,test,42
5481343,476247607_67820168962_414240,test,42
5755351,785144100_69458132927_198292,test,42
1472332,171205712_55253239670_796431,control,42
2398368,884441225_49261668762_534838,test,42
15753,395225539_72187591129_857978,test,41
2026626,903444148_43835368890_737194,test,41
9710697,54445630_72327968227_454622,control,41
3068094,759381819_31380768925_872998,test,41
8678658,704585335_84106003655_168533,control,41
3878403,666500909_3556768365_439225,test,41
7046904,192782363_53243410373_307460,test,41
7706345,20317641_22107870639_335169,test,41
588310,133799547_90233612616_885787,control,41
4536163,336661489_42741612310_441900,control,41
1621451,193256738_77804258125_256860,test,41
5539142,360485584_18849841789_448694,control,41
8207265,215140341_68355225999_163101,control,41
1400056,724727573_14667459449_88889,control,41
2711563,165162387_41856411692_866772,test,41
3157076,812514858_44799981834_399904,test,41
3677950,483721662_74163427569_807374,test,41
7094560,508513183_54582359771_153466,test,41
7197684,324201819_62540733428_123316,control,41
4496283,27260938_27421045685_176700,test,41
8713775,893010259_28765311773_693548,control,41
7871443,150638771_92103540508_27806,test,41
4019355,24035840_90505347259_536639,control,41
2417189,967778173_19236847171_939451,test,41
1436455,472859534_57263188242_814454,test,41
7393980,613104902_48561040285_610530,test,41
162867,572722522_90632959378_655755,test,41
6516858,450924944_64023507660_215496,control,41
246922,467185174_78359374526_92445,test,41
7001154,937608133_64982779199_167158,test,41
4977638,60230211_33320459821_601870,test,40
9114715,342052317_61780803983_26292,test,40
20185,10208508_48498393982_276767,test,40
8293875,339267712_78397922140_713679,test,40
3289674,612563656_18624453003_246282,control,40
7878803,418226161_22920451854_211004,test,40
843004,74732677_6869898858_339010,test,40
7300238,529138698_63423685104_563491,control,40
2249993,125241736_34468309539_332421,control,40
4857140,800249920_51108575115_990430,control,40
7588305,59013111_10525740152_132540,control,40
1455365,499854310_11403399430_214788,control,40
6618173,933790111_29409708961_681643,test,40
2033019,396073555_33861174044_903603,test,40
8697228,489378457_54030043630_285282,test,40
7649486,653411765_20424881137_757495,test,40
1910572,924126041_63687843708_922807,control,40
8689010,797478889_4313948561_390210,control,40
5890936,681968337_30795045154_352353,control,40
5128835,634378098_18807522844_387550,test,40
6318967,961951256_50172117892_110169,test,40
1062737,60399217_67727577413_4002,control,40
2981933,430640092_19188413141_100254,control,40
4166251,158625598_27189545936_391460,control,39
8803535,944437127_91907341593_429323,test,39
1962774,532389803_22808616874_191155,test,39
8217859,138283553_59503605400_628660,test,39
8804547,509130258_16426855129_943689,control,39
4775386,152805718_93565126181_807456,control,39
2694334,791861689_54332083828_890681,test,39
4834299,654324861_83384747386_247971,test,39
1696602,269060014_39659923180_41102,test,39
3086399,839461252_31179922204_695376,control,39
9623027,492837288_85726907564_899783,test,39
3173811,425034379_59124416510_895029,test,39
1500008,963949670_92615551774_411745,test,39
1181373,101680890_99989873555_20306,test,39
2178793,126740778_13650541241_832826,test,39
616089,63091426_65876610995_692996,test,39
1930869,952061803_29123719777_190032,test,39
4010843,869470780_37361793634_394757,control,39
6346474,752036714_43047154201_444572,control,39
1220589,677497912_51443416372_941953,test,39
9181934,784221106_95387675944_55155,test,39
9670293,232342162_94685314228_235620,control,39
4270276,679086847_73100795582_918264,test,39
7032805,803862246_6988166736_12675,control,39
1333739,995255941_39787156317_668113,control,39
3959756,96151885_92379062950_153699,control,39
6011502,27310957_96383285197_623715,test,39
5349495,929430250_85095308563_230150,test,39
8237386,473754096_49955646070_975312,control,39
5640823,136159644_29778319204_316357,test,39
8643228,330716331_40567700652_272081,test,39
1155711,610081676_61814788892_77833,test,39
5937897,151485954_44573497830_134777,control,39
3182757,447501825_86900283385_427480,control,39
3669739,918507352_26343423632_229359,test,39
8540533,244977087_37321688047_996310,test,39
3800349,905644562_75798626167_447134,test,39
2285467,111436494_65622352289_968722,test,39
4418518,186153145_72771222979_813973,control,39
2214073,401945679_7131974968_78570,test,39
3458847,485925243_7644813044_937580,test,38
2769858,274244167_38378113651_860184,test,38
3804845,983621423_17618936367_250405,test,38
1643251,963646829_18717638508_103155,test,38
7501437,722523428_39146301348_152636,test,38
4834299,174815619_65792287429_933807,test,38
1547876,233383042_28653568530_892690,test,38
296154,270355159_95847296282_881083,control,38
13831,146214316_74585352883_309974,control,38
9811749,704951012_2612868272_266031,control,38
4642152,834996283_57594077658_395706,control,38
3937811,415560102_22771262164_46558,test,38
2467952,458172344_28060965009_328372,control,38
5494657,402968016_45242803129_101195,control,38
6691729,127809795_44082302736_876081,test,38
1616582,345559077_32030002659_641278,test,38
6735693,563918274_85537642919_428829,test,38
883189,555092610_53361630563_679332,test,38
673653,407760598_33847095060_242378,control,38
51526,134346196_17609374757_449565,test,38
9855979,824290110_77457647908_391286,test,38
3549403,840377646_87887201055_1369,control,38
7292568,437545310_5437540990_112576,control,38
9633586,25289465_25728286831_441774,test,38
9378106,503010927_16943378817_751792,test,38
4522785,492794520_73928586790_79026,test,38
5050024,754657322_88422785187_242054,test,38
5090001,327539331_40787819499_327013,control,38
1264275,959844153_44128048111_203546,test,38
4586815,433045946_22154666240_300177,control,38
1715399,834319630_87807796745_998785,test,38
2956615,818799545_83114698207_300416,test,38
2500988,774341331_57248505251_688268,test,38
5179510,823279899_12836815611_146731,test,37
9212624,991776402_4158399263_303222,test,37
3746304,221763516_12955085627_87992,test,37
8175407,964070871_75209071651_96269,test,37
